full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
Yuyz0112/claude-code-reverse,2187,2187,365,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
anthropics/skills,91152,91152,9712,291,291,44,https://github.com/anthropics/skills
fuergaosi233/claude-code-proxy,2136,2136,307,4,4,3,https://github.com/fuergaosi233/claude-code-proxy
qwibitai/nanoclaw,21858,21858,4447,63,63,67,https://github.com/qwibitai/nanoclaw
Cranot/claude-code-guide,2467,2467,260,2,2,0,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-security-review,3727,3727,304,7,7,0,https://github.com/anthropics/claude-code-security-review
anthropics/claude-code-base-action,602,602,589,0,0,0,https://github.com/anthropics/claude-code-base-action
RichardAtCT/claude-code-telegram,2028,2028,254,4,4,1,https://github.com/RichardAtCT/claude-code-telegram
router-for-me/CLIProxyAPI,15697,15697,2554,93,93,20,https://github.com/router-for-me/CLIProxyAPI
edmund-io/edmunds-claude-code,1306,1306,271,0,0,0,https://github.com/edmund-io/edmunds-claude-code
https-deeplearning-ai/sc-claude-code-files,449,449,604,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
Pimzino/claude-code-spec-workflow,3515,3515,248,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
wshobson/agents,31023,31023,3402,15,15,2,https://github.com/wshobson/agents
ding113/claude-code-hub,1755,1755,214,12,12,0,https://github.com/ding113/claude-code-hub
eyaltoledano/claude-task-master,25894,25894,2450,1,1,0,https://github.com/eyaltoledano/claude-task-master
snarktank/ralph,12674,12674,1347,19,19,1,https://github.com/snarktank/ralph
siteboon/claudecodeui,8282,8282,1055,18,18,0,https://github.com/siteboon/claudecodeui
EveryInc/compound-engineering-plugin,10277,10277,817,13,13,3,https://github.com/EveryInc/compound-engineering-plugin
feiskyer/claude-code-settings,1293,1293,191,2,2,0,https://github.com/feiskyer/claude-code-settings
obra/superpowers,78559,78559,6078,397,397,32,https://github.com/obra/superpowers
carlvellotti/claude-code-pm-course,1604,1604,240,0,0,1,https://github.com/carlvellotti/claude-code-pm-course
sugyan/claude-code-webui,955,955,219,1,1,0,https://github.com/sugyan/claude-code-webui
ghuntley/claude-code-source-code-deobfuscation,858,858,421,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
lst97/claude-code-sub-agents,1457,1457,235,0,0,0,https://github.com/lst97/claude-code-sub-agents
FlorianBruniaux/claude-code-ultimate-guide,1316,1316,233,6,6,2,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
nishimoto265/Claude-Code-Communication,493,493,239,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
github/spec-kit,76003,76003,6469,60,60,2,https://github.com/github/spec-kit
darcyegb/ClaudeCodeAgents,585,585,53,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
centminmod/my-claude-code-setup,1957,1957,181,2,2,0,https://github.com/centminmod/my-claude-code-setup
sickn33/antigravity-awesome-skills,23414,23414,4022,77,77,11,https://github.com/sickn33/antigravity-awesome-skills
bfly123/claude_code_bridge,1545,1545,141,6,6,0,https://github.com/bfly123/claude_code_bridge
rizethereum/claude-code-requirements-builder,1753,1753,173,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
zhukunpenglinyutong/idea-claude-code-gui,1603,1603,182,7,7,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
slopus/happy,14939,14939,1159,27,27,3,https://github.com/slopus/happy
Njengah/claude-code-cheat-sheet,1416,1416,181,0,0,0,https://github.com/Njengah/claude-code-cheat-sheet
andrepimenta/claude-code-chat,999,999,154,0,0,0,https://github.com/andrepimenta/claude-code-chat
steipete/claude-code-mcp,1168,1168,142,0,0,0,https://github.com/steipete/claude-code-mcp
disler/claude-code-hooks-multi-agent-observability,1258,1258,354,1,1,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
trailofbits/claude-code-config,1561,1561,119,2,2,0,https://github.com/trailofbits/claude-code-config
anthropics/claude-plugins-official,9873,9873,1017,27,27,10,https://github.com/anthropics/claude-plugins-official
catlog22/Claude-Code-Workflow,1462,1462,120,0,0,0,https://github.com/catlog22/Claude-Code-Workflow
farion1231/cc-switch,26973,26973,1631,153,153,6,https://github.com/farion1231/cc-switch
JessyTsui/Claude-Code-Remote,1155,1155,124,2,2,0,https://github.com/JessyTsui/Claude-Code-Remote
simonw/claude-code-transcripts,1122,1122,124,1,1,0,https://github.com/simonw/claude-code-transcripts
peterkrueck/Claude-Code-Development-Kit,1324,1324,152,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
jeremylongshore/claude-code-plugins-plus-skills,1584,1584,192,1,1,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
pchalasani/claude-code-tools,1575,1575,100,1,1,0,https://github.com/pchalasani/claude-code-tools
jarrodwatts/claude-code-config,978,978,121,0,0,0,https://github.com/jarrodwatts/claude-code-config
0xfurai/claude-code-subagents,767,767,140,0,0,0,https://github.com/0xfurai/claude-code-subagents
winfunc/opcode,20883,20883,1608,1,1,0,https://github.com/winfunc/opcode
alirezarezvani/claude-code-tresor,601,601,140,0,0,0,https://github.com/alirezarezvani/claude-code-tresor
ComposioHQ/awesome-claude-skills,43212,43212,4335,77,77,9,https://github.com/ComposioHQ/awesome-claude-skills
wasabeef/claude-code-cookbook,1034,1034,111,0,0,0,https://github.com/wasabeef/claude-code-cookbook
d-kimuson/claude-code-viewer,961,961,110,0,0,0,https://github.com/d-kimuson/claude-code-viewer
revfactory/claude-code-mastering,760,760,124,0,0,0,https://github.com/revfactory/claude-code-mastering
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,1873,1873,288,15,15,7,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
anthropics/claude-agent-sdk-demos,1672,1672,260,5,5,1,https://github.com/anthropics/claude-agent-sdk-demos
Alishahryar1/free-claude-code,907,907,109,2,2,0,https://github.com/Alishahryar1/free-claude-code
cixingguangming55555/wechat-bot,2534,2534,666,-1,-1,0,https://github.com/cixingguangming55555/wechat-bot
EnzeD/vibe-coding,4036,4036,1365,2,2,1,https://github.com/EnzeD/vibe-coding
alirezarezvani/claude-skills,4331,4331,481,45,45,7,https://github.com/alirezarezvani/claude-skills
numman-ali/openskills,8968,8968,572,10,10,0,https://github.com/numman-ali/openskills
ericbuess/claude-code-docs,728,728,104,0,0,0,https://github.com/ericbuess/claude-code-docs
Yeachan-Heo/oh-my-claudecode,9407,9407,664,38,38,3,https://github.com/Yeachan-Heo/oh-my-claudecode
code-yeongyu/oh-my-openagent,39243,39243,2965,69,69,3,https://github.com/code-yeongyu/oh-my-openagent
severity1/claude-code-prompt-improver,1244,1244,107,2,2,0,https://github.com/severity1/claude-code-prompt-improver
MadAppGang/claude-code,243,243,25,0,0,0,https://github.com/MadAppGang/claude-code
anthropics/claude-agent-sdk-python,5348,5348,713,8,8,2,https://github.com/anthropics/claude-agent-sdk-python
daymade/claude-code-skills,643,643,95,1,1,0,https://github.com/daymade/claude-code-skills
browser-use/browser-use,80451,80451,9500,37,37,4,https://github.com/browser-use/browser-use
PleasePrompto/notebooklm-skill,4368,4368,430,8,8,0,https://github.com/PleasePrompto/notebooklm-skill
anomalyco/opencode,120512,120512,12439,135,135,21,https://github.com/anomalyco/opencode
greggh/claude-code.nvim,1911,1911,61,1,1,0,https://github.com/greggh/claude-code.nvim
kn1026/cc,704,704,270,0,0,0,https://github.com/kn1026/cc
lyconear/Claude-Code,4,4,147,0,0,0,https://github.com/lyconear/Claude-Code
BloopAI/vibe-kanban,23008,23008,2249,12,12,1,https://github.com/BloopAI/vibe-kanban
ccplugins/awesome-claude-code-plugins,617,617,125,0,0,0,https://github.com/ccplugins/awesome-claude-code-plugins
gsd-build/get-shit-done,28262,28262,2391,69,69,6,https://github.com/gsd-build/get-shit-done
rohitg00/awesome-claude-code-toolkit,676,676,117,1,1,0,https://github.com/rohitg00/awesome-claude-code-toolkit
