full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
lst97/claude-code-sub-agents,1433,1433,230,0,0,1,https://github.com/lst97/claude-code-sub-agents
carlvellotti/claude-code-pm-course,1497,1497,221,5,5,3,https://github.com/carlvellotti/claude-code-pm-course
ghuntley/claude-code-source-code-deobfuscation,843,843,413,0,0,1,https://github.com/ghuntley/claude-code-source-code-deobfuscation
nishimoto265/Claude-Code-Communication,492,492,239,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
centminmod/my-claude-code-setup,1919,1919,181,0,0,0,https://github.com/centminmod/my-claude-code-setup
darcyegb/ClaudeCodeAgents,568,568,50,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
sickn33/antigravity-awesome-skills,16631,16631,3022,158,158,26,https://github.com/sickn33/antigravity-awesome-skills
andrepimenta/claude-code-chat,992,992,151,0,0,0,https://github.com/andrepimenta/claude-code-chat
rizethereum/claude-code-requirements-builder,1747,1747,172,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
slopus/happy,13766,13766,1054,10,10,2,https://github.com/slopus/happy
disler/claude-code-hooks-multi-agent-observability,1206,1206,344,3,3,1,https://github.com/disler/claude-code-hooks-multi-agent-observability
Njengah/claude-code-cheat-sheet,1367,1367,170,0,0,0,https://github.com/Njengah/claude-code-cheat-sheet
steipete/claude-code-mcp,1142,1142,139,2,2,0,https://github.com/steipete/claude-code-mcp
bfly123/claude_code_bridge,1316,1316,120,3,3,0,https://github.com/bfly123/claude_code_bridge
obra/superpowers,64811,64811,4938,273,273,24,https://github.com/obra/superpowers
peterkrueck/Claude-Code-Development-Kit,1312,1312,149,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
anthropics/claude-plugins-official,8522,8522,835,14,14,2,https://github.com/anthropics/claude-plugins-official
trailofbits/claude-code-config,1393,1393,105,6,6,0,https://github.com/trailofbits/claude-code-config
winfunc/opcode,20709,20709,1596,8,8,1,https://github.com/winfunc/opcode
EnzeD/vibe-coding,3979,3979,1322,1,1,2,https://github.com/EnzeD/vibe-coding
zhukunpenglinyutong/idea-claude-code-gui,1392,1392,148,1,1,0,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
JessyTsui/Claude-Code-Remote,1103,1103,121,0,0,-1,https://github.com/JessyTsui/Claude-Code-Remote
catlog22/Claude-Code-Workflow,1349,1349,111,0,0,0,https://github.com/catlog22/Claude-Code-Workflow
pchalasani/claude-code-tools,1504,1504,96,1,1,0,https://github.com/pchalasani/claude-code-tools
jarrodwatts/claude-code-config,948,948,119,1,1,0,https://github.com/jarrodwatts/claude-code-config
0xfurai/claude-code-subagents,731,731,139,0,0,0,https://github.com/0xfurai/claude-code-subagents
simonw/claude-code-transcripts,1064,1064,119,2,2,0,https://github.com/simonw/claude-code-transcripts
wasabeef/claude-code-cookbook,1015,1015,109,0,0,0,https://github.com/wasabeef/claude-code-cookbook
ComposioHQ/awesome-claude-skills,38490,38490,3798,60,60,8,https://github.com/ComposioHQ/awesome-claude-skills
cixingguangming55555/wechat-bot,2532,2532,668,0,0,0,https://github.com/cixingguangming55555/wechat-bot
revfactory/claude-code-mastering,757,757,122,0,0,0,https://github.com/revfactory/claude-code-mastering
farion1231/cc-switch,21304,21304,1316,53,53,5,https://github.com/farion1231/cc-switch
anthropics/claude-agent-sdk-demos,1534,1534,242,3,3,0,https://github.com/anthropics/claude-agent-sdk-demos
jeremylongshore/claude-code-plugins-plus-skills,1449,1449,171,0,0,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
alirezarezvani/claude-code-tresor,549,549,130,0,0,0,https://github.com/alirezarezvani/claude-code-tresor
d-kimuson/claude-code-viewer,923,923,102,1,1,0,https://github.com/d-kimuson/claude-code-viewer
anthropics/claude-agent-sdk-python,5050,5050,667,5,5,0,https://github.com/anthropics/claude-agent-sdk-python
browser-use/browser-use,79160,79160,9365,21,21,4,https://github.com/browser-use/browser-use
numman-ali/openskills,8595,8595,557,6,6,1,https://github.com/numman-ali/openskills
code-yeongyu/oh-my-opencode,35214,35214,2664,70,70,9,https://github.com/code-yeongyu/oh-my-opencode
opactorai/Claudable,3755,3755,562,1,1,0,https://github.com/opactorai/Claudable
alirezarezvani/claude-skills,2002,2002,242,5,5,0,https://github.com/alirezarezvani/claude-skills
danielmiessler/Personal_AI_Infrastructure,9279,9279,1275,11,11,0,https://github.com/danielmiessler/Personal_AI_Infrastructure
ericbuess/claude-code-docs,704,704,100,0,0,0,https://github.com/ericbuess/claude-code-docs
kn1026/cc,703,703,271,0,0,0,https://github.com/kn1026/cc
MadAppGang/claude-code,240,240,25,0,0,0,https://github.com/MadAppGang/claude-code
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,1460,1460,219,60,60,8,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
severity1/claude-code-prompt-improver,1164,1164,98,1,1,0,https://github.com/severity1/claude-code-prompt-improver
greggh/claude-code.nvim,1867,1867,59,1,1,0,https://github.com/greggh/claude-code.nvim
lyconear/Claude-Code,4,4,146,0,0,0,https://github.com/lyconear/Claude-Code
anomalyco/opencode,112508,112508,11271,134,134,25,https://github.com/anomalyco/opencode
Yeachan-Heo/oh-my-claudecode,7675,7675,536,19,19,3,https://github.com/Yeachan-Heo/oh-my-claudecode
BloopAI/vibe-kanban,22047,22047,2114,14,14,-1,https://github.com/BloopAI/vibe-kanban
upstash/context7,47161,47161,2237,22,22,1,https://github.com/upstash/context7
superdesigndev/superdesign,6041,6041,682,2,2,0,https://github.com/superdesigndev/superdesign
laravel/claude-code,505,505,16,0,0,0,https://github.com/laravel/claude-code
daymade/claude-code-skills,611,611,84,1,1,0,https://github.com/daymade/claude-code-skills
manzaltu/claude-code-ide.el,1377,1377,79,0,0,0,https://github.com/manzaltu/claude-code-ide.el
