full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
eyaltoledano/claude-task-master,25831,25831,2443,3,3,-1,https://github.com/eyaltoledano/claude-task-master
Pimzino/claude-code-spec-workflow,3500,3500,247,2,2,0,https://github.com/Pimzino/claude-code-spec-workflow
siteboon/claudecodeui,8064,8064,1026,17,17,2,https://github.com/siteboon/claudecodeui
ding113/claude-code-hub,1670,1670,205,0,0,0,https://github.com/ding113/claude-code-hub
snarktank/ralph,12388,12388,1329,24,24,1,https://github.com/snarktank/ralph
EveryInc/compound-engineering-plugin,10079,10079,803,14,14,3,https://github.com/EveryInc/compound-engineering-plugin
carlvellotti/claude-code-pm-course,1587,1587,235,5,5,1,https://github.com/carlvellotti/claude-code-pm-course
feiskyer/claude-code-settings,1264,1264,188,1,1,0,https://github.com/feiskyer/claude-code-settings
ghuntley/claude-code-source-code-deobfuscation,855,855,417,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
sugyan/claude-code-webui,948,948,216,1,1,1,https://github.com/sugyan/claude-code-webui
lst97/claude-code-sub-agents,1454,1454,234,2,2,0,https://github.com/lst97/claude-code-sub-agents
github/spec-kit,75035,75035,6400,64,64,6,https://github.com/github/spec-kit
nishimoto265/Claude-Code-Communication,493,493,239,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
darcyegb/ClaudeCodeAgents,580,580,52,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
sickn33/antigravity-awesome-skills,21838,21838,3787,101,101,10,https://github.com/sickn33/antigravity-awesome-skills
centminmod/my-claude-code-setup,1948,1948,180,0,0,0,https://github.com/centminmod/my-claude-code-setup
rizethereum/claude-code-requirements-builder,1752,1752,173,0,0,1,https://github.com/rizethereum/claude-code-requirements-builder
bfly123/claude_code_bridge,1473,1473,134,2,2,-1,https://github.com/bfly123/claude_code_bridge
andrepimenta/claude-code-chat,996,996,152,0,0,0,https://github.com/andrepimenta/claude-code-chat
Njengah/claude-code-cheat-sheet,1400,1400,180,0,0,0,https://github.com/Njengah/claude-code-cheat-sheet
steipete/claude-code-mcp,1167,1167,140,0,0,0,https://github.com/steipete/claude-code-mcp
zhukunpenglinyutong/idea-claude-code-gui,1555,1555,170,2,2,0,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
slopus/happy,14559,14559,1133,15,15,1,https://github.com/slopus/happy
disler/claude-code-hooks-multi-agent-observability,1249,1249,351,1,1,1,https://github.com/disler/claude-code-hooks-multi-agent-observability
trailofbits/claude-code-config,1523,1523,116,2,2,2,https://github.com/trailofbits/claude-code-config
obra/superpowers,74017,74017,5697,200,200,15,https://github.com/obra/superpowers
JessyTsui/Claude-Code-Remote,1144,1144,123,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
catlog22/Claude-Code-Workflow,1442,1442,116,4,4,0,https://github.com/catlog22/Claude-Code-Workflow
farion1231/cc-switch,25381,25381,1557,77,77,5,https://github.com/farion1231/cc-switch
simonw/claude-code-transcripts,1109,1109,124,5,5,1,https://github.com/simonw/claude-code-transcripts
anthropics/claude-plugins-official,9485,9485,954,29,29,4,https://github.com/anthropics/claude-plugins-official
peterkrueck/Claude-Code-Development-Kit,1319,1319,150,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
pchalasani/claude-code-tools,1561,1561,100,1,1,0,https://github.com/pchalasani/claude-code-tools
jarrodwatts/claude-code-config,962,962,119,1,1,-1,https://github.com/jarrodwatts/claude-code-config
0xfurai/claude-code-subagents,756,756,139,1,1,0,https://github.com/0xfurai/claude-code-subagents
jeremylongshore/claude-code-plugins-plus-skills,1551,1551,186,3,3,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
winfunc/opcode,20824,20824,1602,5,5,1,https://github.com/winfunc/opcode
cixingguangming55555/wechat-bot,2535,2535,666,0,0,0,https://github.com/cixingguangming55555/wechat-bot
EnzeD/vibe-coding,4021,4021,1354,0,0,0,https://github.com/EnzeD/vibe-coding
revfactory/claude-code-mastering,759,759,124,0,0,0,https://github.com/revfactory/claude-code-mastering
wasabeef/claude-code-cookbook,1029,1029,111,0,0,0,https://github.com/wasabeef/claude-code-cookbook
alirezarezvani/claude-code-tresor,579,579,137,1,1,0,https://github.com/alirezarezvani/claude-code-tresor
d-kimuson/claude-code-viewer,953,953,109,1,1,0,https://github.com/d-kimuson/claude-code-viewer
ComposioHQ/awesome-claude-skills,41989,41989,4184,70,70,11,https://github.com/ComposioHQ/awesome-claude-skills
anthropics/claude-agent-sdk-demos,1631,1631,255,2,2,1,https://github.com/anthropics/claude-agent-sdk-demos
anthropics/claude-agent-sdk-python,5258,5258,704,6,6,0,https://github.com/anthropics/claude-agent-sdk-python
Alishahryar1/free-claude-code,843,843,99,4,4,1,https://github.com/Alishahryar1/free-claude-code
code-yeongyu/oh-my-openagent,38141,38141,2876,54,54,5,https://github.com/code-yeongyu/oh-my-openagent
ericbuess/claude-code-docs,721,721,102,0,0,0,https://github.com/ericbuess/claude-code-docs
Yeachan-Heo/oh-my-claudecode,8911,8911,625,43,43,2,https://github.com/Yeachan-Heo/oh-my-claudecode
numman-ali/openskills,8847,8847,569,3,3,0,https://github.com/numman-ali/openskills
severity1/claude-code-prompt-improver,1222,1222,107,1,1,0,https://github.com/severity1/claude-code-prompt-improver
MadAppGang/claude-code,242,242,25,0,0,0,https://github.com/MadAppGang/claude-code
alirezarezvani/claude-skills,2813,2813,367,76,76,8,https://github.com/alirezarezvani/claude-skills
anomalyco/opencode,118434,118434,12115,144,144,13,https://github.com/anomalyco/opencode
browser-use/browser-use,79936,79936,9444,23,23,0,https://github.com/browser-use/browser-use
BloopAI/vibe-kanban,22716,22716,2217,44,44,3,https://github.com/BloopAI/vibe-kanban
lyconear/Claude-Code,4,4,147,0,0,0,https://github.com/lyconear/Claude-Code
greggh/claude-code.nvim,1895,1895,61,0,0,0,https://github.com/greggh/claude-code.nvim
kn1026/cc,704,704,270,0,0,0,https://github.com/kn1026/cc
opactorai/Claudable,3785,3785,565,3,3,0,https://github.com/opactorai/Claudable
PleasePrompto/notebooklm-skill,4254,4254,421,4254,4254,421,https://github.com/PleasePrompto/notebooklm-skill
FlorianBruniaux/claude-code-ultimate-guide,834,834,109,834,834,109,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
daymade/claude-code-skills,628,628,91,2,2,0,https://github.com/daymade/claude-code-skills
ccplugins/awesome-claude-code-plugins,613,613,123,0,0,2,https://github.com/ccplugins/awesome-claude-code-plugins
superdesigndev/superdesign,6077,6077,688,1,1,-1,https://github.com/superdesigndev/superdesign
gsd-build/get-shit-done,26501,26501,2253,216,216,15,https://github.com/gsd-build/get-shit-done
